Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
Basic Nigar Palace 7B,2400,3,3,3,1,2,8,11,140000,10000,2022,"	Road:10, BaNAni,Dhaka",24 hours security service,NA,Residential Apartment,	Un-Furnished,Residential,24,	L.P.G,YES,	NORTH,YES,YES,YES
Aakash Onupom,2485,4,4,3,1,1,8,10,140000,0,2025,"Road:15, BaNAni,Dhaka",24 hours security service,NA,Residential Apartment,	Un-Furnished,Residential,24,	L.P.G,YES,	NORTH,YES,YES,YES
e NAvaNA Residence,3000,3,3,2,1,1,3,11,160000,15000,2022,"	Road:13, BaNAni,Dhaka"," Swimming Pool, GYM",NA,Residential Apartment,	Un-Furnished,Residential,24,	L.P.G,YES,	NORTH,YES,YES,YES
ARC SigNAture,2150,3,3,3,1,2,3,10,130000,0,2025,"	Road:13, BaNAni,Dhaka",NA,NA,        Residential Apartment,	Un-Furnished,Residential,24,	L.P.G,YES,EAST,YES,YES,YES
SigNAture 11 (Bra New),4200,5,6,3,1,2,6,11,230000,0,2025,"	Road: 12, BaNAni,Dhaka",NA,NA,        Residential Apartment,	Un-Furnished,Residential,24,	L.P.G,YES,        EAST,YES,YES,YES
Sheltech Rebecca,1824,3,3,2,1,2,8,10,130000,0,2025,"	Road: 5, BaNAni,Dhaka",NA,NA,        Residential Apartment,	Un-Furnished,Residential,24,L.P.G,YES,	NORTH,YES,YES,YES
NAfisa Cressida,1970,3,3,3,1,1,6,8,90000,8000,2024,"	Road: 02, BaNAni,Dhaka",NA,NA,        Residential Apartment,	Un-Furnished,Residential,24,	L.P.G,YES,        EAST,YES,YES,YES
Rangs Merisa,2700,3,3,1,1,1,6,9,160000,20000,2024,"	Road: 18, BaNAni,Dhaka","Swimming Pool,24 hours security service",NA,        Residential Apartment,	Un-Furnished,Residential,24,L.P.G,YES,        EAST,YES,YES,YES
Anwar Lamark Whiling Woods,2616,3,3,2,1,2,6,10,175000,0,2024,"Road: 18, BaNAni,Dhaka","Swimming Pool, GYM",NA,	Residential Apartment,Semi Furnished,Residential,24,L.P.G,YES,        SOUTH,YES,YES,YES
Asset Der Rahman,1700,3,3,3,1,1,5,10,140000,15000,2023,"	Road: 9, BaNAni,Dhaka","Swimming Pool,24 hours security service",NA,        Residential Apartment,Un-Furnished,Residential,24,	L.P.G,YES,        SOUTH,YES,YES,YES
